NomeMunicipio ; UF ; OrgaoSuperior ; SituacaoConvenio ; ValorConvenio ; ValorLiberado ; ObjetoConvenio;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Adimplente ; 216419997.00 ; 216417302.36 ; CONVENIO BRASIL INSTITUTO DE CULTURA BRASIL COLOMBIA. DIVULGACAO DA   LINGUA PORTUGUESA. PROMOCaO_DA CULTURA BRASILEIRA E FORMAcaO DE       BIBLIOTECA ETC.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Adimplente ; 237176.99 ; 201787.35 ; DIFUSAO DA LINGUA PORTUGUESA E DA CULTURA BRASILEIRA NA VENEZUELA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 15000.00 ; 15000.00 ; REALIZACAO DE EVENTOS (SEMINARIOS. CONFERENCIAS) E EDICAO DE PUBLICA- COES COM VISTAS A DIVULGACAO DO BRASIL NA ALEMANHA E A PROMOCAO DAS   RELACOES BILATERAIS NO AMBITO CULTURAL.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 228796.63 ; 0.00 ; COLABORACAO ENTRE A EMBAIXADA E O INSTITUTO PARA A EXECUCAO DOS SEGUINTES PROGRAMAS. COM O OBJETIVO DE DIFUNDIR A LINGUA PORTUGUESA E PROMO-VER A CULTURA. AS ARTES. A HISTORIA E AS TRADICOES BRASILEIRAS: 'PROJETO APRENDA PORTUGUES'; QUE OFERECE CURSOS DE LINGUA PORTUGUESA. 'PROJETO e HORA DE CONHECER O BRASIL'. QUE INCLUI A REALIZACAO DE DIVERSOS  TIPOS DE EVENTOS; E 'PROJETO ATUALIZACAO DA NOSSA BIBLIOTECA'. PARA A-;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Adimplente ; 245759.00 ; 127172.70 ; COLABORACAO ENTRE A EMBAIXADA E O INSTITUTO PARA A EXECUCAO DOS SEGUINTES PROGRAMAS. COM O OBJETIVO DE DIFUNDIR A LINGUA PORTUGUESA E PROMO-VER A CULTURA. AS ARTES. A HISTORIA E AS TRADICOES BRASILEIRAS: PROJE-TO 'DIVULGACAO DA LINGUA PORTUGUESA'. QUE OFERECE CURSOS DE LINGUA PORTUGUESA; PROJETO 'CONHECER O BRASIL'. COM O LANCAMENTOS DE LIVROS E A REALIZACAO DE PALESTRAS; E O PROJETO 'FORMACAO DE BIBLIOTECA'. PARA MO;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Adimplente ; 0.00 ; 0.00 ; DIFUNDIR O ENSINO DO IDIOMA PARTUGUES EM SUA VARIANTE BRASILEIRA. IN- CLUSIVE NO QUE SE REFERE  A FORMACAO E CAPACITACAO DE PROFESSORES  DE PORTUGUES. DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS.  INCLUSIVE  PRODUCAO EDITORIAL E CINEMATOGRAFICA. PROMOVER E DIVULGAR ESTUDOS  E  PESQUISAS SOBRE A CULTURA DO BRASIL E PRESERVAR AS TRADICOES E DIVUL- GAR A HISTORIA DO BRASIL.;;;;;
EXTERIOR ; EXTERIOR ; MINIST. DA INDUSTRIA. COM.EXTERIOR E SERVICOS ; Concluido ; 6462009.00 ; 800000.00 ; O PROJETO TEM COMO PROPOSITO A OBTENCAO DE COMPETENCIAS E O APRIMORA- MENTO DO ACESSO A CULTURA DE PROPRIEDADE INTELECTUAL PARA O USO DOS SETORES DA SOCIEDADE. DE FORMA A PERMITIR O AUMENTO DA PRODUTIVIDADE NASOPERACOES RELATIVAS A PATENTES. MARCAS. INFORMACAO TECNOLOGICA. PROCE-DIMENMTOS LEGAIS E CONTATOS DE TRANSFERENCIA DE TECNOLOGIA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 19600.00 ; 19600.00 ; REALIZACAO DE EVENTOS (SEMINARIOS. CONFERENCIAS) E EDICAO DE PUBLICACACOES COM VISTAS A DIVULGACAO DO BRASIL NA ALEMANHA E A PROMOCAO DAS   RELACOES BILATERAIS NO AMBITO CULTURAL.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Adimplente ; 12500.00 ; 6250.00 ; PLANEJAR E PROMOVER SEMINARIOS. CONGRESSOS E PALESTRAS RELATIVAS A TEMAS DE ESTUDOS BRASILEIROS. JUNTO A ENTIDADES ACADEMICAS E A COMUNIDADELOCAL; ESTIMULAR A PRODUCAO INTELECTUAL VOLTADA PARA ASSUNTOS BRASILEIROS. ARTICULANDO O ENSINO DA LINGUA PORTUGUESA COM A DIFUSAO DA CULTURA BRASILEIRA EM SUAS MULTIPLAS VERTENTES; ORGANIZAR A RECEPCAO DE ACADEMICOS E INTELECTUAIS BRASILEIROS AS INSTITUICOES DO 'UNIVERSITY OF TE;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 357848.91 ; 0.00 ; DIFUSAO DA LINGUA PORTUGUESA E DA CULTURA BRASILEIRA NA VENEZUELA.;;;;;
