CodigoSIAFIMunicipio|ValorLiberado
580|195000
3845|55800
478|185303
9093|282600
8607|3251
2611|87300
510|200000
6261|77700
1119|65600
7047|178000
7413|228466
207|589600
1747|8600
1040|5100
1549|100000
8149|6175
3401|29250
426|328212
4231|184800
2289|277587
2619|150000
398|78041
3173|16920
3985|58200
3293|80000
754|83980
5223|51050
417|402078
2075|125010
6933|49696
4929|41000
3963|184253
4833|11000
6321|115887
3909|485243
83|7600
8689|56040
9903|6150
4111|136140
4673|203568
3005|86859
2903|10000
967|20925
832|30000
4861|85700
9089|218604
5329|50000
8129|6175
1487|86117
2349|34970
8125|3000
2893|547838
9117|28480
947|217089
8629|143720
7713|34490
9713|6200
2567|28640
7757|4800
162|139378
3527|150000
6305|80000
1511|114937
1269|100510
9787|25375
5669|82350
1901|614300
6401|1022720
480|46512
5393|31487
2093|8600
9289|293993
9813|83225
8225|1800
6427|463
5881|25000
2221|120797
3989|80000
3027|54836
8679|138540
7807|88560
864|81635
1537|20000
2201|188825
447|366294
7831|1800
8035|100000
2009|103950
2549|320130
4637|6900
5313|1800
959|60400
8765|130140
1023|48026
8013|3380
1048|21250
5679|31800
1034|148173
9047|105293
951|146810
7735|101152
8815|1917642
5807|4462447
8851|54660
4083|4800
9881|66000
9625|467700
4143|52000
7925|8431
8751|171250
2247|259700
5195|27700
1521|149390
5539|30000
4223|91486
876|40000
699|61207
9739|63140
8617|7312
6761|124100
705|159307
9609|272458
999|43600
4877|295000
5879|117680
6267|14350
9187|41250
5213|1295387
7703|10031
5737|142000
5643|481269
5937|20400
192|100000
1461|70000
7633|568867
730|44100
2313|88300
6777|30000
6005|177930
8677|153700
3681|271740
6973|27821
5233|46710
6061|20400
1739|232
8059|3050
5299|5700
905|373508
8957|10982
2949|318000
5257|3600
1483|1448
868|14343
7913|1200
8049|4800
7151|36618
7545|3380
6913|308550
2789|426785
5469|100000
8405|20000
3693|100000
786|8237
10|78624
9149|112875
6711|1208004
811|38600
4039|157250
5675|48750
998|20000
5781|19640
9623|130000
4593|293125
4445|560180
3073|49870
476|24960
969|320000
5651|46800
6509|16233
9103|40500
8637|411162
8903|3000
2767|58500
9041|128059
2307|77900
4193|10000
2357|1205860
2793|2102860
7011|64520
5909|585750
4671|6300
6465|4500
9885|118143
5757|464474
7977|20707
2527|15991
9457|100000
2315|100000
2777|66800
5695|48685
5907|950000
963|140000
4507|3880
968|97500
1016|39800
89|72895
1787|549071
519|180000
1083|90230
7867|83600
657|135833
2957|19500
95|60000
6731|59534
116|193725
6887|200000
6295|833965
1643|560020
8183|80500
8081|1049981
4439|75000
4767|51214
3241|538890
5253|87830
6291|2911469
2797|111750
9921|71507
7201|41072
7103|37200
6007|92800
8223|17128
826|100000
1113|4800
299|35823
9901|71000
412|63146
2077|6400
8895|60000
454|21400
5647|411400
2855|363750
3261|84100
2555|131070
9381|146250
8015|3600
8037|150000
720|11700
7803|145000
1043|11394
378|5720
444|13979
8951|6900
5725|51769
3639|87500
755|20000
5827|213527
1499|24350
77|70800
9219|207200
218|130375
1641|18200
9055|183442
551|25000
518|6900
2851|63993
6227|31200
8593|26700
8377|17000
8595|6800
8439|80000
9879|69750
4693|116000
2803|7874
7915|112484
4|501336
3383|18000
8483|97500
4865|6478500
1401|32760
2179|245500
8933|150700
4901|1050
9119|178600
8365|11000
9237|132700
8267|71500
1289|169500
6605|38787
4173|47250
9335|107700
9775|6200
193|20000
6847|165143
9247|172400
7883|11457
9235|51827
3061|40000
509|54800
8001|263042
8181|48750
6309|62100
9065|62400
3357|109860
1259|277496
2029|159249
4903|72240
9355|3267
5811|78376
6625|50000
1211|30000
642|32000
1645|126750
2459|41460
2675|9420
1625|27300
2721|182749
1111|3600
8673|50000
7115|228496
7421|150000
5935|20000
4327|12500
5555|73699
7875|331503
8675|62640
6071|202352
834|222612
1163|47500
4359|732500
935|301973
9013|133427
