CodigoSIAFIMunicipio|ValorLiberado
6345|203893
246|200000
1989|892425
5879|2602297
1597|1630000
1381|975675
1142|190000
4623|1181244
2961|125000
8261|6367500
6817|698850
8831|886830
7901|755500
9153|2431203
491|905800
9991|352247
7067|88000
6991|321750
1139|2335815
6155|4705153
7829|92000
4171|2011457
7751|1914226
5281|100000
9117|1069374
931|1299660
8469|380000
1833|1409666
9645|1380750
7029|1679970
8477|75000
2843|1668820
8069|501237
8365|627000
8189|341536
4529|303038
7657|908874
8249|169890
9317|31125
3177|450000
2957|100000
4727|569654
7965|639540
6371|1281245
4137|333860
2413|2794617
8225|1434813
7103|128924
7613|153101
133|745000
1451|3957040
7139|764378
9771|617632
323|1109800
4491|177972
7145|2252641
7325|6399750
8589|4756997
6983|769880
1160|28891
1121|374142
3319|1566008
773|1515000
5345|39340
8343|133200
9971|161379
6451|211978
4331|831906
245|1961880
2793|5467892
3419|1177706
2035|621000
8899|1885490
4685|235700
6309|307789
4327|221270
6943|400398
7475|243750
6681|12751484
4435|955779
180|1516730
4369|649991
6623|388050
6373|898038
4483|100000
485|86096
1507|2389748
3913|3222791
9133|478000
458|90000
3217|1049136
6069|201838
5691|3579087
413|827852
8493|395593
150|713863
2219|1138865
8893|222750
2353|100000
510|239976
5367|240000
8879|2535295
3533|6892199
6377|57087037
584|72000
4717|174000
3785|194080
624|162500
695|485337
5231|87000
3495|851402
1635|2306450
1469|3477140
2145|495000
2599|250000
5043|2878498
5755|100000
6633|487450
3315|565408
1991|871146
4567|320340
2467|866338
6605|325576
4131|310569
5137|1659634
6497|242368
7249|201750
7401|1337424
724|155358
99|429575
4103|584488
8033|194491
3131|80000
7727|438901
1527|4112761
7849|429348
1030|42400
3487|300000
2989|328262
5779|533532
9273|149982
9077|970000
508|530932
4215|192000
3819|250000
8041|690088
2009|1953000
112|330000
1149|100000
5013|345155
8197|1096070
1155|631598
4925|2085190
9313|462290
3613|119993
9485|1649888
1399|812000
8759|408500
