UF|ValorLiberado
AMAPA|1875327759
AMAZONAS|4492773669
CEARA|13912893578
ALAGOAS|6900250777
SAO PAULO|35123006716
ACRE|3982408725
MATO GROSSO DO SUL|6630950880
ESTADO NAO ESPECIFICADO PELO GESTOR|548002
RIO DE JANEIRO|23755933597
DISTRITO FEDERAL|49504124712
MARANHAO|6272892542
GOIAS|6527979019
MINAS GERAIS|17500148305
PIAUI|5563083257
TOCANTINS|4264217680
PARA|5772443575
PERNAMBUCO|16440737955
BAHIA|14781914912
SERGIPE|3198740043
RONDONIA|2965428666
PARAIBA|6417677688
MATO GROSSO|5739916093
EXTERIOR|261388013
RORAIMA|3389332121
RIO GRANDE DO NORTE|5604879965
SANTA CATARINA|7342499813
RIO GRANDE DO SUL|12961559338
PARANA|9715042776
ESPIRITO SANTO|2610924674
