CodigoSIAFIMunicipio|PerdaConvenio
1305|2016756
4699|100000
916|306140
8047|14132892
9289|1834970
7621|225000
7841|143617
3257|66645
3031|1872803
3737|318000
773|3810000
2243|2034250
3379|1015114
2829|1816850
6191|140000
1383|2032946
3617|218530
985|1278750
3221|445000
5259|195000
3205|834499
521|3380868
5347|98900
1297|489600
789|1013629
8555|1203200
4079|4211241
5971|20000
363|340000
996|331260
1547|4783175
7523|161000
2951|5205280
2301|1892621
4045|444200
2007|1415000
8377|394950
1160|249600
8277|0
7343|150000
2205|240449
905|424787
131|1284089
9273|195000
3761|1660102
3623|2971092
562|1669950
4093|286282
703|895000
6635|1415000
3543|1300000
2795|3244600
967|8672780
626|300000
5811|5175742
2121|785250
260|203007
3975|175500
9417|679500
5031|257378
5935|200000
6881|587100
1747|17800
8801|378588031
8845|3368940
8093|726400
7203|150000
5831|517000
161|865147
7829|650000
1525|3140222
2255|66543
9547|1335235
2749|831957
1053|1771500
8761|243750
6471|100000
3809|602990
4265|232321
8585|1291750
9363|350000
8357|3903093
421|488768
9671|254129
2535|703950
658|676100
955|275667
4117|1246325
4105|674659
2991|513700
49|820850
8677|145960
5871|9140875
6185|147500
813|2039012
93|460350
940|226063
937|1544543
21|3329751
5515|143190
4355|118482
8289|1077521
5833|37050461
1901|1318750
257|7014597
1895|1172050
1161|1440983
9817|1000000
1483|2221550
1369|1651101
646|438950
1029|1017431
3313|2085000
6077|44000
9323|1688550
6481|1063900
7557|555400
9731|125000
7147|556500
4893|206000
8693|690519
2787|1192250
1085|445000
3363|200000
7131|588200
3179|2375970
6005|9631880
5625|10993265
4939|1945213
6769|309450
692|782100
4841|396153
8689|195000
9335|1519678
4927|80000
4635|127500
2119|385000
1617|1772500
282|134931
2357|25189601
92|80000
3891|299999
6169|120000
5449|203533
300|4150
7415|300000
2291|1780970
6671|2300975
4271|390850
6219|9604621
8695|83588
6679|190000
3599|147486
5291|958415
2491|24390825
800|298200
1627|457600
6389|671000
8705|1811259
96|347500
5345|349400
739|2332379
9545|383936
7679|1583471
5565|80700
6387|827500
4941|2654776
408|146250
4943|260000
5385|1086813
4179|5302500
6055|118200
3485|1626612
6289|612000
5141|676571
8345|48750
8475|125500
430|1053318
182|971157
9821|70000
8953|50000
4803|167500
823|633750
7657|1311863
7347|30000
5029|1097319
2383|1680748
2483|2245063
1451|9373452
287|100000
2523|326859
980|113950
5955|365000
3863|561288
4585|2623066
5161|832556
378|150000
4561|5000
3879|2638750
8265|870000
1153|8101217
977|1599900
2139|1516729
8389|885450
315|15162723
8939|349000
5335|532783
7505|1990400
5487|1790500
6569|499206
4811|381560
4017|398200
7165|100000
86|97500
4143|1758570
8027|10369987
8887|571970
3513|2257370
6397|1756640
1407|1683547
463|335467
8433|408500
9285|327486
379|834000
2407|1199464
1069|100000
3131|653570
6915|1995298
5507|141500
7681|37121
73|482500
8895|123136
2695|982211
396|370000
2441|100000
445|691099
366|285000
2297|951871
3409|1276461
7927|2680146
1465|1070925
6009|5480443
882|250000
569|445470
5101|296100
316|134931
8815|3913542
3559|249750
8905|750000
306|384931
6063|275000
961|881000
255|198961816
6083|985110
4741|846934
129|1458000
3271|1734000
8211|1256000
1319|3368461
1485|581884
8711|140000
5801|25075837
3847|497500
1567|10729781
5617|534000
7243|100000
1881|447500
330|492500
8989|1235500
2433|1098046
1469|2258797
982|250000
1080|4211505
7111|419700
63|225195
9533|507511
1723|913250
9859|588000
9097|1045000
4383|441987
4477|883310
3609|50000
221|1450567
6579|3138622
8603|216881
9345|1061030
5889|10100893
2229|1429653
7135|6094108
631|3570700
5279|652000
8855|1856292
329|812500
7883|410000
3387|600000
965|2861276
7907|385944
216|237021
7687|149433
838|137500
878|196400
8605|215000
7967|370000
4155|297241
4613|338824
3209|1731460
82|414125
9093|850000
8829|240000
2989|428575
8065|55000
748|918599
8655|48750
4459|330000
1917|1216500
6543|782489
7059|329400
9941|340000
2831|3251850
2387|883000
9263|985500
4975|30000
3013|97500
3017|128000
6437|165000
757|5003921
2005|1619950
4423|267500
9945|312500
2043|535000
8179|25002749
7683|1200889
9039|1159775
1577|1392387
8427|140500
3747|594845
9979|190000
6003|454780
8877|4712052
6965|325700
5521|45000
5787|176250
4115|885722
4863|1141950
1261|1760171
1871|1066140
6045|120000
6287|50000
206|464487
8785|4824012
8129|125339
7321|195000
9893|1152122
1687|770000
6851|97500
5679|1416055
733|2355018
2921|745000
5677|5020076
3677|1628805
3357|1546142
7711|163675
7211|170000
2629|20999361
3295|799999
9071|1291161
2771|195000
138|503722
752|97000
1729|574632
7239|160000
4577|2585600
7389|663100
6955|97500
7497|152400
4461|54000
788|9527109
1767|1280000
2173|135878
3481|3117606
8021|725639
1201|587900
6011|723600
4231|400000
5579|403200
9123|2156900
520|536428
9279|977125
2751|196413
5531|20000
1561|1828110
7793|250000
2911|12307402
8633|148000
7475|703500
2443|2250860
105|2717419
8341|859710
2067|2082691
7817|868191
6699|3130520
1002|30000
1271|904220
7521|200600
8697|80000
4791|1503379
6361|2437386
2939|259775
1463|2396058
8393|142000
4167|514685
8611|427000
6919|195000
3595|688717
3157|2053298
8525|1525600
1281|2307142
5417|1286375
2045|677750
9515|360000
1921|304372
5067|609106
436|98200
4653|758966
2605|1056765
9925|3556738
1329|2214594
1705|160000
1043|346250
8789|554987
231|1833068
751|177430
4701|973664
4845|146250
2687|612693
8517|346250
9247|283800
213|747511
6685|213000
7563|4127340
2137|229080
1038|544200
9767|484931
7811|436033
9197|513270
665|2601998
6987|463750
997|45199
5577|137500
1985|2580370
8529|178526
5843|5182237
2967|200000
5781|654650
2973|100000
4259|454000
8559|895250
179|260000
8361|118970
1875|475375
4233|275065
5937|20700
6321|1079500
1861|705000
224|630595
6459|90000
2103|817500
8335|2038200
3535|472720
9283|675850
3583|185830
7631|217500
6621|483353
826|347500
4899|2293100
2647|2205931
7177|482378
140|222666
192|303750
6087|107835
5943|694200
1041|200000
2997|1396450
8691|937500
652|237566
4835|1507527
4343|100000
1073|1384135
9497|761450
3443|1101750
3735|201140
217|2780663
2409|28970
6147|333310
2507|1939927
5271|300000
5559|652450
4153|148750
4499|210000
8867|345700
7531|1065500
489|1424712
8407|537650
6811|100000
5197|243750
7777|11602336
1032|595000
2791|40061
5041|850147
80|294616
7517|914000
4531|774633
11|4629920
6073|186210
1389|1136637169
201|500000
1963|926770
5701|4404925
3645|653100
2995|146950
3243|1977868
7931|383750
1173|195000
5627|2973132
5659|3257467
669|2069533
7403|1133150
1057|2269300
9463|1687785
6629|241614
2783|2332376
2077|507798
722|688100
9845|2156564
5967|150000
6081|391470
993|3101733
7409|104733
2961|148200
7775|119000
6867|350000
970|302053
7099|36633494
3399|270000
1339|2050961
3531|628000
2875|1745011
2723|867164
437|1650436
3893|1625745
234|390000
492|561780
642|373618
4199|3155550
6183|676504
2241|2045452
8429|200000
9003|2150000
9349|50000
5381|590315
4765|50000
1181|190000
8201|387478
6527|346950
467|496950
2531|678442337
6433|226020
9977|125000
3345|535905
7301|50000
4997|98200
8723|322500
6411|5376823
1809|1643500
7193|50000
6041|152000
8139|431217
5179|667500
8685|5412454
5859|2485568
9421|370000
4275|97500
9567|246400
1425|1036960
3493|1272645
468|1122550
2621|973750
3019|320000
1661|448500
7851|91000
2797|688200
8509|286000
648|70000
1345|1653042
4519|606839
62|512768
9175|127390
6177|2174914
775|1158142
1072|245850
1115|955608
6649|1901416
4051|190000
7023|275200
9997|1795000
2481|647500
761|934507
1585|3206750
9337|100000
5723|1653073
5273|1037500
7047|8840166
6853|2815728
6187|220000
5771|791950
6747|125200
1675|1274997
2305|3102596
9657|297500
7115|7311222
7573|845850
641|385000
7215|122225
9259|844916
7473|574420
8671|470000
5825|915000
601|657649
6793|2045237
8117|9305285
1501|784200
13|2721684
1017|600000
4775|50000
1933|503720
6461|392600
9179|623823
1639|1636850
8463|120000
4527|245850
1993|5783350
4003|120000
8993|4614495
7439|535300
3367|1240000
1303|1765997
4385|2260387
6109|948099
4431|4776458
7083|510000
85|818870
7839|440000
9215|2390000
617|8374407
7555|197500
8837|1999301
3503|225500
6311|1147150
195|2537600
334|32970
4295|155000
3419|1409250
7801|293533
1313|2685222
3155|475287
1977|236500
6215|645970
2983|10100
5929|1537500
3717|1158850
901|533898
4547|341250
6951|97500
2777|592000
6227|201645
948|128970
4729|56000
8505|688667
2613|910795
953|488033
5853|24246592
5107|345000
4565|302500
3201|425000
4301|536850
4771|1108000
603|6677875
6817|548900
30|10500352
2979|97500
2213|1270400
487|1595268
6573|1471250
9427|292500
7783|195000
8755|241238
446|1303000
209|2862400
1158|195000
1026|270000
915|74000
2277|545924
7959|491000
9923|388700
4273|1046974
7935|1535300
4897|125000
8115|395740
2195|1194030
398|447500
7089|697500
8625|583835
9353|860742
4327|260000
1761|178068657
8679|645000
2843|3319050
2903|2538750
1779|12665953
2107|130000
699|928875
582|75000
6301|1045450
1751|688750
2379|2148750
6619|2642241
1285|438860
9641|354865
1107|228970
677|310029
6657|391030
1129|323970
7445|791630
810|50000
1931|1766477
247|1100939
8191|789500
69|940000
4365|4424520
4757|428416
1839|397060
548|250000
1417|1877153
2303|5486615
4147|1965776
9645|1209500
709|1686000
3819|1152662
6069|347853
4979|34315
1891|319375
7997|616667
491|1162500
52|1718280
1791|276500
749|515200
8649|540440
2805|496400
4807|137500
5425|1688500
1036|2064757
9143|1736250
6363|502800
7197|58500
3725|350000
3865|101800
9331|195000
5121|371875
549|943470
5313|722880
8865|698487
1475|5255490
6755|90000
9481|616415
934|254339
6659|342650
7623|536398
8881|2265296
7373|90000
8319|2975022
8401|344050
1619|3351692
560|1094800
3299|40000
9047|9243004
207|6260600
8445|112000
9661|573350
3191|4078380
9287|2722750
1807|992100
7633|2082835
4409|458950
3141|3695737
