CodigoSIAFIMunicipio|ValorConvenio
1265|26318010
3339|6402685
8233|26767525
8841|565148445
8879|56102234
5289|4950840
8227|12597635
6341|10004793
2759|66702272
838|14199749
9225|10234241
7621|5734297
3977|12895793
8737|22305378
6381|7704856
2073|11762885
327|3889064
8023|7832227
9521|3775857
3369|19999080
3295|7846150
9813|14432754
9151|285856419
416|4859243
8545|10300531
200|9519584
2579|21957711
1|34479557
121|20540843
8341|9546260
7469|11544120
8379|11610527
3251|30096402
4061|1536938
1681|12489891
2009|9684442
37|18007681
4823|4335622
419|8766341
5217|3831168
2885|62749926
7543|4013977
7209|18331361
8351|16714330
5663|35308432
8981|14106461
2571|19013806
1709|13845473
7123|3347928
4035|4502461
8205|38468455
1619|30308355
7363|6690069
4383|8895309
6427|29290507
9703|5004207
7765|12428969
9047|127233438
8485|7398195
763|54373065
2373|13622526
5233|17423469
8527|16413051
4173|3918198
3595|22622122
8547|15402093
9089|17897729
4869|26301515
6225|5393377
6301|13079758
7979|7931088
6507|17076955
747|7810609
4873|8692601
2187|14175371
114|13972150
9025|23145098
4193|6813540
1160|1594035
6497|4588109
9207|9717734
2879|16357513
71|3132064
768|12925316
8949|7292422
4145|23262391
4323|1619691
8479|5088404
7817|19014014
1691|13477414
4755|3936949
670|4482049
9697|4800097
7215|2096703
5491|8940272
397|35140858
2031|16400250
767|28599713
6209|237833618
4|38989185
8335|14602175
823|5844993
790|3250444
5523|3897911
9863|42451532
9447|3201370
8743|4758577
111|6050701
8657|14680128
8593|17425539
4935|2926133
7451|5989876
3061|1896141
947|22633783
449|14676392
7193|1705240
313|64477705
66|2066947
5805|29829935
3901|35273986
1195|9256121
5839|65816744
1535|10665784
2271|7601325
8441|6637661
9759|11997634
194|40198970
2389|17307786
7857|24656297
6683|1960444
8339|30756049
9763|22690238
1477|3317696
1153|121634883
9113|50273941
170|15023686
3969|36150164
6833|5974106
5445|3383806
1881|23633320
355|3318594
218|14098403
655|32386544
603|21413100
6981|3864058
8819|9868503
2727|40209198
8473|5271536
3267|12798173
6169|3322960
6765|3891143
9795|3942981
4065|1393291
2237|14549845
6323|57288503
2067|7767335
2259|10970149
3723|13909031
7739|16023920
2323|64807085
25|41979638
8223|5297550
9495|2610140
938|5596371
9677|52140291
623|32826956
3539|6923518
1705|3187226
9029|14272948
642|4120603
1855|15686355
7967|22030039
6987|4832102
8477|7124130
2283|4211301
3813|14001150
9143|26758505
315|93940784
7173|6197969
2439|14807420
4633|21434307
1561|50718529
4447|3268445
7211|4955758
524|11078386
8407|5464900
1805|15003160
715|4260257
6475|194800209
6653|5586148
29|145616941
9897|32534529
8781|21912833
1143|6741363
3697|28257699
895|23159094
7321|3560625
5557|3881653
6161|3526397
4807|1902932
6401|188760849
7925|4590099
8393|5752851
508|6659000
4133|218757033
554|14886593
8519|16579459
8093|20513598
1191|10025122
6655|6702468
6699|13373406
4811|1386162
723|71200363
5187|2545365
3145|41856990
4401|2727182
1013|4886818
363|5581955
9673|6439330
7001|13524837
621|30291506
8145|6842777
6465|8241743
1086|8761481
6979|105721667
849|47779245
698|2933541
3349|3947126
4831|11609605
2829|6671909
1063|5620613
8387|26334383
9635|15279582
8885|8091570
5659|32481137
8961|4978970
4885|24852638
2273|7232687
4525|1368241
5099|3886386
2683|6697463
4467|3473119
521|7648033
8759|6995348
1189|4304613
8541|66188332
8277|3245347
5085|9098690
4227|8673057
689|13898651
7221|5504761
651|34983249
7933|22413070
2751|7034874
5427|469898722
210|17668728
2265|7713823
1625|9322146
55|13960383
1615|10056974
3045|61444800
336|4722933
4579|4777071
6837|4530849
944|3231086
866|12996342
2703|20248102
165|6024410
3455|10406039
5341|13215057
528|7377098
4945|17163370
7839|4207679
1167|24935616
4777|3427127
9505|2765487
3671|17180271
2347|11926011
3811|31197377
4841|12248157
6011|8185143
3759|11400923
6261|3508168
9539|17754432
923|28945825
8955|37605735
4749|27778681
8549|8122611
6223|1572985
4725|30513361
6849|13587109
6925|3060760
8575|7725431
1507|83814149
8533|6455746
2415|3423084
9093|26355027
5431|5511943
5403|309668964
674|884317
6867|2302034
887|16567209
7819|3255258
6333|8904923
3829|21566881
6721|3026748
5135|6915938
5073|3542891
829|12968205
1155|24947805
1747|15063376
1211|170452710
9571|102669832
4975|3060680
9037|22148995
1779|103676476
1995|9831579
7983|5715038
7005|64045051
3323|7370670
730|3905560
5509|4029478
4479|13916330
93|14270173
4397|999901
9509|24218620
3523|10288233
502|9860408
6767|8154513
3403|28920500
3363|58204627
9341|17307835
2139|17114552
5531|7546679
3303|11603611
5285|5247681
6101|13891755
4291|8345184
8301|9350712
5861|23957032
5243|5627035
6031|4371089
5415|8206459
6387|7126477
628|6161005
5865|1050866946
9191|51059576
1673|4439062
1037|36478654
1369|31513643
2325|13129784
5603|32474505
