CodigoSIAFIMunicipio|ValorLiberado
2831|7323677
8717|11868454
3935|4521671
650|2459625
8829|5631053
8359|8642555
9861|6704142
425|18388586
7435|31542911
6387|5607949
2049|5809489
1189|2464535
3691|20035569
4139|1167044
6087|5489983
4887|2138823
8205|24629877
6653|4577973
9873|16449068
4877|189658234
1403|3431740
1979|7249069
6907|758247
2313|8983849
8175|55234617
9121|17559718
9507|1959260
662|15165575
6731|7899736
3369|13927269
9125|15152107
2321|8189134
2277|4630909
102|1857671
5743|6494767
1569|36619144
697|14509033
8|17196729
6521|190973183
748|2195823
892|4391389
2045|4980271
165|5719143
3327|5058246
8259|16228255
7903|6662659
8473|3619480
1717|5949865
335|2170360
6073|11941716
8169|3955717
8889|5182883
6879|7293298
141|8120562
4703|18015714
6249|68517529
3777|1585383
158|3459015
8201|2509520
8695|4294294
30|62261110
8977|8159926
5367|8315579
6871|11408339
3525|7597008
7245|61388303
1151|9136983
9029|7000855
29|76834962
814|4514070
6617|3186115
3363|40317536
6209|194587098
84|1188525
3577|7194812
5605|12868515
134|19770208
2803|9182834
2209|3569905
4881|9517193
470|3945713
1117|2543845
2957|685050
1947|5963621
8639|10935540
1585|138174395
7723|4345723
1855|9757057
3081|6008280
856|3251160
3361|1904305
4239|8038063
1237|10322528
2113|1720555
9571|63906014
6231|5826633
5941|5742093
6045|3547117
739|19989278
4815|2649600
1223|5211663
5843|26769244
9753|42596490
615|89367965
7493|130845610
7469|8128880
5567|4496047
3357|13419161
8919|16414814
1401|24818171
7323|5121852
7231|9867987
5571|2328608
306|6217501
9691|6325944
8183|124548808
1079|3620485
151|19152634
1229|13151312
504|3416247
847|7928086
8863|45958839
1369|26054867
67|10052357
1525|8391226
5895|14742563
3429|16317460
2909|56060190
2293|2674200
9493|1350490
5553|6739740
323|4248896
6315|10714193
457|18878324
2223|3777178
8773|29680207
5531|6841324
1691|8710972
6797|3620692
1773|2982281
8103|7587119
6053|5971861
501|11667256
144|4106018
6547|19158196
626|2532672
578|6143934
5383|12034134
9919|2437347
6649|12205865
5663|23656516
277|8399779
7621|4558601
468|2048219
1187|2990200
8471|4131023
2403|6549139
993|8733196
6753|8376747
8995|7509032
9471|10800228
2377|9953967
3751|7390636
1619|13648686
4559|10914960
2841|12130966
9599|26980559
239|7904299
2007|3966890
807|27494911
680|2784489
2325|8679156
3217|3261081
5441|8144440
1517|8704452
7659|26615339
5985|9445043
456|8119901
765|19759227
1661|12911941
4311|1375248
2251|7496176
5425|28720295
3401|6232361
4327|1558914
3331|8527406
8015|7070815
6381|6481739
4581|18248698
3743|6962140
8131|17921752
3569|9693866
6565|9272654
3177|11876836
9781|2786345
617|23096941
2257|2896461
8445|5314172
3233|57279919
5909|61354529
1553|18667840
8839|58662806
9389|10742315
832|3620847
1148|4714431
2395|12240890
2397|15251024
149|22376391
575|6111615
1124|1461350
7053|5798629
6133|6642901
8237|14753963
1925|5979448
9093|21040850
6757|3569345
101|2723342
6793|15010479
8001|45241322
4291|4141698
1589|21583339
6245|3843497
8955|28439672
5955|5892980
6039|14966678
672|1105922
232|1459860
6853|11754132
741|15506200
5037|3392786
912|7180611
7233|36153761
3877|5254022
7163|2434618
3433|8820530
4491|2718554
3631|5876291
3645|6240487
658|3055513
2173|3809009
1160|777194
9047|84156077
6695|4189466
5419|8231578
4453|3019902
2483|4485050
7749|24837696
9597|5179765
2385|5497114
2001|5406233
2279|9820560
324|3998572
1417|12923255
8397|10200563
3651|25972167
2183|7332029
2263|5191879
596|4378292
1645|10710294
5927|4248406
4831|6111069
4569|2039863
587|17024309
3407|14770897
8635|15548979
272|2120410
4061|1051796
4173|3446178
867|7013067
7479|2402724
2327|7907406
